PID,x0,xf,E0,Ef
0,-4.555e+08,-2.19183e+11,2.00056e-07,2.06295e-07
1,-4.555e+08,5.72864e+08,2.00056e-07,5.94017e-12
2,-4.555e+08,-6.04118e+10,2.00056e-07,2.20569e-07
3,-4.555e+08,5.71443e+08,2.00056e-07,4.56102e-11
4,-4.555e+08,5.70855e+08,2.00056e-07,9.67231e-12
5,-4.555e+08,-5.62638e+10,2.00056e-07,2.46119e-07
6,-4.555e+08,-2.4453e+11,2.00056e-07,2.01542e-07
7,-4.555e+08,-3.80973e+11,2.00056e-07,2.02748e-07
8,-4.555e+08,-1.4123e+11,2.00056e-07,2.42992e-07
9,-4.555e+08,-2.45971e+10,2.00056e-07,2.39684e-07
