Step,Bx,By,Bz,Bm
141,0.115796,0.137289,0.313848,0.361604
142,0.117302,0.145876,0.307989,0.360411
143,0.105568,0.158293,0.31135,0.364884
144,0.097197,0.145374,0.322966,0.367271
145,0.098883,0.144465,0.313576,0.359135
146,0.107444,0.161339,0.304397,0.360877
147,0.118555,0.163965,0.314741,0.374168
148,0.111742,0.159253,0.312569,0.368167
149,0.105609,0.153917,0.31842,0.3691
150,0.106595,0.157452,0.306374,0.360581
151,0.112626,0.172927,0.314284,0.375982
152,0.112281,0.161837,0.323666,0.378891
153,0.111039,0.155592,0.31298,0.366736
154,0.118585,0.148784,0.325166,0.376739
155,0.110015,0.16649,0.338456,0.392906
156,0.101413,0.181466,0.32989,0.389925
157,0.108944,0.172336,0.324074,0.382874
158,0.115753,0.171463,0.317583,0.379021
159,0.122103,0.1696,0.33436,0.394296
160,0.1326,0.171225,0.348308,0.410145
161,0.138504,0.168218,0.346048,0.408938
162,0.145022,0.173635,0.344511,0.412151
163,0.128953,0.178452,0.337664,0.403102
164,0.133645,0.154238,0.331371,0.389175
165,0.14358,0.159947,0.320943,0.386267
166,0.13151,0.172611,0.32407,0.390014
167,0.120773,0.16986,0.340135,0.398911
168,0.120826,0.165716,0.341691,0.398514
169,0.119905,0.1714,0.32981,0.390551
170,0.108362,0.173955,0.320034,0.380033
171,0.117474,0.175692,0.346052,0.405488
172,0.111093,0.189857,0.346366,0.410313
173,0.118561,0.191621,0.360328,0.424985
174,0.130263,0.193452,0.364827,0.433003
175,0.128598,0.198677,0.360422,0.431177
176,0.142221,0.20149,0.353125,0.430723
177,0.14346,0.186945,0.356886,0.427664
178,0.112838,0.180644,0.355486,0.414409
179,0.108316,0.19071,0.354389,0.416766
180,0.115031,0.192454,0.356993,0.421562
181,0.104988,0.206735,0.359514,0.427799
182,0.108374,0.186251,0.366443,0.425106
183,0.110549,0.181393,0.35127,0.410506
184,0.12337,0.182427,0.349668,0.413241
185,0.115478,0.206032,0.335762,0.410513
186,0.0985338,0.203052,0.346465,0.413493
187,0.107356,0.200931,0.34318,0.411911
188,0.122082,0.188038,0.335958,0.403894
189,0.113449,0.189577,0.332624,0.399311
190,0.116843,0.194817,0.334534,0.404375
191,0.111939,0.204062,0.334399,0.407424
192,0.109031,0.200969,0.332611,0.403617
193,0.0939412,0.201285,0.328975,0.396945
194,0.0868926,0.207207,0.321533,0.392261
195,0.104481,0.200407,0.324567,0.395503
196,0.091581,0.212821,0.305525,0.383439
197,0.101984,0.193599,0.328544,0.394743
198,0.104406,0.190569,0.330854,0.39583
199,0.118482,0.197754,0.324789,0.398287
200,0.13886,0.193651,0.312632,0.393092
201,0.142383,0.197816,0.299385,0.386051
202,0.135903,0.175858,0.300056,0.373403
203,0.130925,0.18324,0.308741,0.382151
204,0.118781,0.183821,0.307178,0.37717
205,0.113348,0.189765,0.316958,0.386421
206,0.106867,0.195098,0.314846,0.385502
207,0.109955,0.194408,0.317396,0.388105
208,0.127568,0.177362,0.323061,0.389999
209,0.116832,0.181959,0.311451,0.379158
210,0.117557,0.180362,0.313315,0.380153
211,0.123313,0.190607,0.316537,0.389529
212,0.11998,0.196757,0.310432,0.386622
213,0.105551,0.19265,0.330263,0.396647
214,0.111189,0.181587,0.332211,0.39459
215,0.118341,0.192946,0.325022,0.39607
216,0.120783,0.193149,0.324248,0.396272
217,0.12169,0.188905,0.322094,0.392731
218,0.117696,0.182163,0.31279,0.380623
219,0.127778,0.179431,0.321894,0.390049
220,0.125006,0.172186,0.32112,0.385218
221,0.124719,0.170738,0.304686,0.370863
222,0.119686,0.163573,0.295,0.357919
223,0.129577,0.168347,0.291421,0.360635
224,0.127155,0.164467,0.281025,0.34956
225,0.120572,0.163569,0.283552,0.348847
226,0.117399,0.163041,0.279085,0.34388
227,0.128263,0.16662,0.288391,0.356907
228,0.129132,0.176309,0.270383,0.347659
229,0.129941,0.172601,0.273202,0.348304
230,0.140809,0.15438,0.293411,0.360209
231,0.132057,0.164208,0.274752,0.346254
232,0.134759,0.16568,0.269374,0.343762
233,0.143979,0.17424,0.265361,0.348577
234,0.131513,0.174706,0.261002,0.340499
235,0.139388,0.162219,0.274257,0.347795
236,0.127481,0.162862,0.270893,0.340821
237,0.130371,0.158117,0.292073,0.356797
238,0.134821,0.160736,0.271958,0.343473
239,0.123245,0.15074,0.270136,0.332994
240,0.123731,0.157434,0.26637,0.333238
241,0.129702,0.162037,0.261881,0.334156
242,0.126691,0.14769,0.250415,0.317129
243,0.128449,0.145774,0.257801,0.322816
244,0.13474,0.133525,0.248826,0.312887
245,0.13489,0.133286,0.229702,0.297865
246,0.147969,0.135781,0.227534,0.303485
247,0.152589,0.134564,0.237137,0.31245
248,0.139518,0.143414,0.226283,0.302054
249,0.131954,0.143988,0.256142,0.322107
250,0.12661,0.147933,0.240675,0.309579
251,0.120065,0.152231,0.22653,0.29817
252,0.136584,0.142532,0.228209,0.301744
253,0.135063,0.137688,0.213536,0.287745
254,0.134474,0.120183,0.214606,0.280327
255,0.135702,0.122645,0.221497,0.287259
256,0.135531,0.12983,0.213609,0.284347
257,0.125296,0.125461,0.215443,0.279026
258,0.13076,0.123296,0.219763,0.283894
259,0.130897,0.123462,0.220636,0.284705
260,0.0829798,0.14494,0.347657,0.385693
261,0.0887557,0.141277,0.347973,0.385905
262,0.0872406,0.13778,0.343225,0.379997
263,0.07846,0.145436,0.334533,0.373122
264,0.0764966,0.135677,0.337196,0.371431
265,0.0812145,0.126694,0.33928,0.371158
266,0.0648627,0.131888,0.341142,0.371455
267,0.0670466,0.129135,0.339169,0.369062
268,0.0580746,0.120414,0.349836,0.37451
269,0.050332,0.123051,0.353845,0.377996
270,0.0489928,0.135121,0.345789,0.37447
271,0.0468514,0.131625,0.351038,0.37782
272,0.0570363,0.129079,0.350075,0.377448
273,0.0630387,0.129343,0.35995,0.387644
274,0.0661677,0.132888,0.359867,0.389284
275,0.060953,0.125517,0.349695,0.376506
276,0.064958,0.130786,0.347386,0.376831
277,0.0722179,0.121755,0.365794,0.39223
278,0.0688958,0.121233,0.359628,0.385715
279,0.0722437,0.131222,0.367382,0.396747
280,0.056137,0.136835,0.368023,0.396631
281,0.0674648,0.137993,0.359927,0.391332
282,0.0690814,0.142975,0.375545,0.407735
283,0.0685214,0.148747,0.370866,0.405416
284,0.065508,0.15634,0.368636,0.405741
285,0.0551902,0.163506,0.362971,0.401905
286,0.0683156,0.16172,0.362821,0.403062
287,0.0648885,0.161201,0.372587,0.411118
288,0.0588216,0.15675,0.381663,0.41677
289,0.0575469,0.15317,0.360824,0.39619
290,0.0534553,0.150389,0.356001,0.390143
291,0.0618987,0.140591,0.370896,0.401449
292,0.0651373,0.142735,0.363764,0.396158
293,0.0583715,0.130699,0.368776,0.395582
294,0.0590954,0.134317,0.387161,0.414038
295,0.0650432,0.138513,0.370371,0.400738
296,0.0603164,0.132763,0.374785,0.402154
297,0.0583794,0.136774,0.367297,0.39626
298,0.0475318,0.141345,0.373024,0.401727
299,0.0456991,0.128927,0.383808,0.407454
300,0.0333036,0.146101,0.370824,0.399956
301,0.0252129,0.141263,0.387296,0.413024
302,0.018053,0.137874,0.390697,0.414704
303,0.0274293,0.139797,0.380565,0.406356
304,0.013873,0.142593,0.385811,0.411552
305,0.0239402,0.135644,0.373863,0.398429
306,0.0234025,0.142595,0.389374,0.415323
