PID,x0,xf,E0,Ef
0,-0.379583,509937,100,100
1,-0.379583,507056,100,100
2,-0.379583,509814,100,100
3,-0.379583,506784,100,100
4,-0.379583,504883,100,100
5,-0.379583,508157,100,100
6,-0.379583,506857,100,100
7,-0.379583,506957,100,100
8,-0.379583,506429,100,100
9,-0.379583,509490,100,100
10,-0.379583,506613,100,100
11,-0.379583,506073,100,100
12,-0.379583,505820,100,100
13,-0.379583,509495,100,100
14,-0.379583,506769,100,100
15,-0.379583,506380,100,100
16,-0.379583,506019,100,100
17,-0.379583,507824,100,100
18,-0.379583,507943,100,100
19,-0.379583,507476,100,100
20,-0.379583,506170,100,100
21,-0.379583,505937,100,100
22,-0.379583,505779,100,100
23,-0.379583,507428,100,100
24,-0.379583,507791,100,100
25,-0.379583,508863,100,100
26,-0.379583,506677,100,100
27,-0.379583,506169,100,100
28,-0.379583,505586,100,100
29,-0.379583,509126,100,100
30,-0.379583,506482,100,100
31,-0.379583,506256,100,100
32,-0.379583,508380,100,100
33,-0.379583,508013,100,100
34,-0.379583,509984,100,100
35,-0.379583,507207,100,100
36,-0.379583,508059,100,100
37,-0.379583,505533,100,100
38,-0.379583,510057,100,100
39,-0.379583,504084,100,100
40,-0.379583,506145,100,100
41,-0.379583,508047,100,100
42,-0.379583,507982,100,100
43,-0.379583,507053,100,100
44,-0.379583,505924,100,100
45,-0.379583,509271,100,100
46,-0.379583,507748,100,100
47,-0.379583,507218,100,100
48,-0.379583,509467,100,100
49,-0.379583,508122,100,100
50,-0.379583,507475,100,100
51,-0.379583,506451,100,100
52,-0.379583,505539,100,100
53,-0.379583,510193,100,100
54,-0.379583,505958,100,100
55,-0.379583,508569,100,100
56,-0.379583,506343,100,100
57,-0.379583,506345,100,100
58,-0.379583,505290,100,100
59,-0.379583,505330,100,100
60,-0.379583,505454,100,100
61,-0.379583,508615,100,100
62,-0.379583,506866,100,100
63,-0.379583,506320,100,100
64,-0.379583,509462,100,100
65,-0.379583,509573,100,100
66,-0.379583,509786,100,100
67,-0.379583,508453,100,100
68,-0.379583,507554,100,100
69,-0.379583,507177,100,100
70,-0.379583,509599,100,100
