PID,weight,x,y,z,vx,vy,vz
5,1,-5.84087e+11,-7.74454e+11,2.14052e+11,5.60767e+07,-4.95917e+06,-3.20697e+07
5,1,-5.85773e+11,-7.77535e+11,2.1391e+11,5.5974e+07,-6.26104e+06,-3.18928e+07
5,1,-5.85782e+11,-7.78012e+11,2.0927e+11,5.58242e+07,-7.55344e+06,-3.16869e+07
5,1,-5.81018e+11,-7.76233e+11,2.10346e+11,5.56288e+07,-8.83602e+06,-3.14513e+07
5,1,-5.81921e+11,-7.76145e+11,2.13567e+11,5.5391e+07,-1.01093e+07,-3.11839e+07
5,1,-5.80707e+11,-7.71248e+11,2.14986e+11,5.51153e+07,-1.13733e+07,-3.08819e+07
5,1,-5.7857e+11,-7.77959e+11,2.15372e+11,5.48065e+07,-1.26263e+07,-3.05428e+07
5,1,-5.79435e+11,-7.71557e+11,2.13899e+11,5.44694e+07,-1.38645e+07,-3.01651e+07
5,1,-5.79406e+11,-7.7761e+11,2.11812e+11,5.41082e+07,-1.50824e+07,-2.97489e+07
5,1,-5.83378e+11,-7.71794e+11,2.08446e+11,5.37256e+07,-1.62746e+07,-2.92961e+07
5,1,-5.43254e+11,-7.77616e+11,2.10897e+11,5.47312e+07,2.31509e+07,-2.36336e+07
5,1,-5.43357e+11,-7.74591e+11,2.04096e+11,5.53882e+07,2.21986e+07,-2.41235e+07
5,1,-5.41736e+11,-7.72852e+11,2.05384e+11,5.60184e+07,2.12193e+07,-2.459e+07
5,1,-5.39878e+11,-7.75141e+11,2.07925e+11,5.66205e+07,2.02134e+07,-2.50339e+07
5,1,-5.36257e+11,-7.76978e+11,2.07299e+11,5.71914e+07,1.91824e+07,-2.5456e+07
5,1,-5.35778e+11,-7.76559e+11,2.03898e+11,5.77271e+07,1.81286e+07,-2.58578e+07
5,1,-5.34976e+11,-7.70624e+11,2.04912e+11,5.82232e+07,1.70544e+07,-2.62408e+07
5,1,-5.34659e+11,-7.73203e+11,2.05196e+11,5.86767e+07,1.59611e+07,-2.66072e+07
5,1,-5.40177e+11,-7.71389e+11,2.04137e+11,5.90864e+07,1.48483e+07,-2.69584e+07
5,1,-5.35196e+11,-7.71182e+11,2.04143e+11,5.94529e+07,1.37135e+07,-2.72955e+07
5,1,-5.32705e+11,-7.78001e+11,2.07794e+11,5.97779e+07,1.25537e+07,-2.7618e+07
5,1,-5.3706e+11,-7.75311e+11,2.02598e+11,6.00638e+07,1.13669e+07,-2.79241e+07
5,1,-5.37496e+11,-7.77443e+11,2.06395e+11,6.03124e+07,1.01536e+07,-2.82104e+07
5,1,-5.31775e+11,-7.73989e+11,2.02515e+11,6.0525e+07,8.91853e+06,-2.84728e+07
5,1,-5.32512e+11,-7.76734e+11,2.02837e+11,6.07026e+07,7.66966e+06,-2.87071e+07
5,1,-5.35095e+11,-7.75215e+11,2.05322e+11,6.08462e+07,6.417e+06,-2.89098e+07
5,1,-5.28965e+11,-7.72534e+11,2.05033e+11,6.09575e+07,5.16967e+06,-2.90788e+07
5,1,-5.34064e+11,-7.77034e+11,2.01849e+11,6.10384e+07,3.93333e+06,-2.92136e+07
5,1,-5.28807e+11,-7.76202e+11,2.07042e+11,6.10902e+07,2.70866e+06,-2.93153e+07
5,1,-5.32536e+11,-7.74334e+11,1.99864e+11,6.1113e+07,1.49159e+06,-2.9386e+07
5,1,-5.26255e+11,-7.75031e+11,2.01616e+11,6.11047e+07,275311,-2.94284e+07
5,1,-5.30813e+11,-7.73142e+11,2.06063e+11,6.10615e+07,-946799,-2.94455e+07
5,1,-5.28211e+11,-7.77474e+11,2.01384e+11,6.09786e+07,-2.17833e+06,-2.94393e+07
5,1,-5.25456e+11,-7.74599e+11,2.04797e+11,6.08523e+07,-3.41822e+06,-2.94111e+07
5,1,-5.24773e+11,-7.75838e+11,2.00868e+11,6.06814e+07,-4.66086e+06,-2.93611e+07
5,1,-5.21619e+11,-7.71075e+11,2.00939e+11,6.0468e+07,-5.8978e+06,-2.92882e+07
5,1,-5.23224e+11,-7.69962e+11,1.99316e+11,6.02179e+07,-7.12012e+06,-2.91901e+07
5,1,-5.20343e+11,-7.77069e+11,1.96584e+11,5.99389e+07,-8.32076e+06,-2.90641e+07
5,1,-5.20202e+11,-7.69596e+11,1.99633e+11,5.96394e+07,-9.49578e+06,-2.89075e+07
5,1,-5.26745e+11,-7.74475e+11,2.04152e+11,5.93266e+07,-1.06446e+07,-2.87175e+07
5,1,-5.24958e+11,-7.77817e+11,1.973e+11,5.90052e+07,-1.1769e+07,-2.84923e+07
5,1,-5.17425e+11,-7.73916e+11,2.02045e+11,5.86773e+07,-1.28719e+07,-2.8231e+07
5,1,-5.18615e+11,-7.72222e+11,1.98543e+11,5.83417e+07,-1.3956e+07,-2.79344e+07
5,1,-5.22864e+11,-7.72301e+11,1.97572e+11,5.7995e+07,-1.50227e+07,-2.76047e+07
5,1,-5.15614e+11,-7.74486e+11,1.94866e+11,5.7632e+07,-1.60715e+07,-2.72459e+07
5,1,-5.19521e+11,-7.77764e+11,1.94425e+11,5.72462e+07,-1.71011e+07,-2.68634e+07
5,1,-5.21252e+11,-7.73109e+11,2.00452e+11,5.68314e+07,-1.81093e+07,-2.64628e+07
5,1,-5.15484e+11,-7.7416e+11,1.9743e+11,5.63821e+07,-1.90944e+07,-2.6049e+07
5,1,-5.14331e+11,-7.74234e+11,1.95192e+11,5.58944e+07,-2.0056e+07,-2.56251e+07
5,1,-5.15485e+11,-7.76493e+11,2.00417e+11,5.53653e+07,-2.09953e+07,-2.51917e+07
5,1,-5.13156e+11,-7.79522e+11,1.95821e+11,5.47932e+07,-2.1915e+07,-2.4747e+07
5,1,-5.16024e+11,-7.72901e+11,1.94944e+11,5.41773e+07,-2.28176e+07,-2.42874e+07
5,1,-5.13555e+11,-7.78339e+11,1.92989e+11,5.35176e+07,-2.37046e+07,-2.38093e+07
5,1,-4.81246e+11,-7.71055e+11,1.93812e+11,5.48251e+07,2.16381e+07,-2.49706e+07
5,1,-4.83402e+11,-7.70309e+11,1.90549e+11,5.53705e+07,2.0704e+07,-2.54286e+07
5,1,-4.82735e+11,-7.75057e+11,1.90852e+11,5.58934e+07,1.97518e+07,-2.58609e+07
5,1,-4.81143e+11,-7.70194e+11,1.90024e+11,5.63939e+07,1.87808e+07,-2.62686e+07
5,1,-4.79294e+11,-7.69133e+11,1.92305e+11,5.68725e+07,1.77892e+07,-2.6653e+07
5,1,-4.73994e+11,-7.75654e+11,1.94413e+11,5.73305e+07,1.67739e+07,-2.7015e+07
5,1,-4.74652e+11,-7.75896e+11,1.87865e+11,5.77683e+07,1.57321e+07,-2.73552e+07
5,1,-4.77994e+11,-7.70744e+11,1.87081e+11,5.81858e+07,1.4662e+07,-2.76735e+07
5,1,-4.73983e+11,-7.69371e+11,1.88277e+11,5.85818e+07,1.35636e+07,-2.7969e+07
5,1,-4.78179e+11,-7.69794e+11,1.91978e+11,5.89549e+07,1.24387e+07,-2.82402e+07
5,1,-4.77299e+11,-7.73744e+11,1.88762e+11,5.93037e+07,1.12907e+07,-2.84852e+07
5,1,-4.76385e+11,-7.75403e+11,1.91012e+11,5.96278e+07,1.01224e+07,-2.8702e+07
5,1,-4.70411e+11,-7.70728e+11,1.86669e+11,5.99278e+07,8.93555e+06,-2.88887e+07
5,1,-4.68399e+11,-7.70684e+11,1.90674e+11,6.02048e+07,7.73002e+06,-2.90436e+07
5,1,-4.73699e+11,-7.73303e+11,1.8774e+11,6.04603e+07,6.50404e+06,-2.91649e+07
5,1,-4.73196e+11,-7.7421e+11,1.84075e+11,6.06947e+07,5.25568e+06,-2.92511e+07
5,1,-4.71342e+11,-7.7236e+11,1.84307e+11,6.09072e+07,3.9846e+06,-2.93007e+07
5,1,-4.69474e+11,-7.67988e+11,1.89169e+11,6.1096e+07,2.69325e+06,-2.93125e+07
5,1,-4.71178e+11,-7.72487e+11,1.89728e+11,6.12585e+07,1.387e+06,-2.9286e+07
5,1,-4.69077e+11,-7.68509e+11,1.87902e+11,6.13922e+07,72920.4,-2.92213e+07
5,1,-4.7184e+11,-7.69032e+11,1.85343e+11,6.14951e+07,-1.24238e+06,-2.91194e+07
5,1,-4.68622e+11,-7.72178e+11,1.86042e+11,6.15653e+07,-2.55483e+06,-2.89815e+07
5,1,-4.64071e+11,-7.68185e+11,1.84524e+11,6.16014e+07,-3.864e+06,-2.88092e+07
