Step,Bx,By,Bz,Bm
92,1.12847e-07,1.30061e-08,6.06172e-07,6.16724e-07
93,1.15863e-07,1.87204e-08,6.05696e-07,6.16962e-07
94,1.20314e-07,2.33475e-08,6.05344e-07,6.17626e-07
95,1.26301e-07,2.64324e-08,6.05135e-07,6.1874e-07
96,1.3341e-07,2.77494e-08,6.05105e-07,6.20259e-07
97,1.40739e-07,2.73508e-08,6.05287e-07,6.22036e-07
98,1.47121e-07,2.55745e-08,6.05694e-07,6.2383e-07
99,1.51474e-07,2.30051e-08,6.06296e-07,6.25354e-07
100,1.53171e-07,2.03847e-08,6.07018e-07,6.26377e-07
101,1.5231e-07,1.84831e-08,6.0775e-07,6.26817e-07
102,1.49745e-07,1.79457e-08,6.08384e-07,6.26799e-07
103,1.46861e-07,1.91464e-08,6.08865e-07,6.26619e-07
104,1.45132e-07,2.20792e-08,6.09241e-07,6.26678e-07
105,1.4562e-07,2.63155e-08,6.09694e-07,6.27395e-07
106,1.48595e-07,3.10489e-08,6.10526e-07,6.29116e-07
107,1.53429e-07,3.52275e-08,6.12097e-07,6.32016e-07
108,1.58821e-07,3.77572e-08,6.14721e-07,6.36028e-07
109,1.63297e-07,3.77378e-08,6.1854e-07,6.40845e-07
110,1.65777e-07,3.46813e-08,6.2343e-07,6.46026e-07
111,1.66003e-07,2.8658e-08,6.28967e-07,6.51136e-07
112,1.64611e-07,2.03313e-08,6.34493e-07,6.55814e-07
113,1.62814e-07,1.08618e-08,6.39257e-07,6.59754e-07
114,1.61832e-07,1.69956e-09,6.42611e-07,6.62677e-07
115,1.62329e-07,-5.69306e-09,6.4419e-07,6.64352e-07
116,1.64137e-07,-1.0124e-08,6.44027e-07,6.64691e-07
117,1.66391e-07,-1.08968e-08,6.42553e-07,6.63836e-07
118,1.68013e-07,-7.93131e-09,6.40495e-07,6.62212e-07
119,1.68303e-07,-1.76178e-09,6.38692e-07,6.60497e-07
120,1.67316e-07,6.57776e-09,6.37897e-07,6.59508e-07
121,1.65854e-07,1.57463e-08,6.38612e-07,6.59985e-07
122,1.65048e-07,2.4324e-08,6.40997e-07,6.62351e-07
123,1.65747e-07,3.10357e-08,6.44858e-07,6.66541e-07
124,1.68015e-07,3.49395e-08,6.49706e-07,6.71988e-07
125,1.70993e-07,3.55611e-08,6.54851e-07,6.77741e-07
126,1.73219e-07,3.29627e-08,6.59533e-07,6.82697e-07
127,1.73248e-07,2.77353e-08,6.63055e-07,6.85876e-07
128,1.703e-07,2.09111e-08,6.6491e-07,6.86692e-07
129,1.64602e-07,1.37962e-08,6.64869e-07,6.85081e-07
130,1.57267e-07,7.74639e-09,6.6302e-07,6.8146e-07
131,1.49777e-07,3.92315e-09,6.5974e-07,6.7654e-07
132,1.43333e-07,3.08614e-09,6.55617e-07,6.7111e-07
133,1.38353e-07,5.47411e-09,6.51324e-07,6.65879e-07
134,1.3438e-07,1.08053e-08,6.4749e-07,6.61376e-07
135,1.30386e-07,1.83934e-08,6.44594e-07,6.57906e-07
136,1.2535e-07,2.73408e-08,6.42888e-07,6.55565e-07
137,1.18818e-07,3.67491e-08,6.42386e-07,6.54315e-07
138,1.11208e-07,4.58913e-08,6.42896e-07,6.54055e-07
139,1.03726e-07,5.4306e-08,6.44093e-07,6.54648e-07
140,9.79309e-08,6.18076e-08,6.45623e-07,6.55927e-07
141,9.51362e-08,6.84282e-08,6.47192e-07,6.57716e-07
142,9.58999e-08,7.43233e-08,6.48634e-07,6.59884e-07
143,9.98212e-08,7.96743e-08,6.49945e-07,6.62375e-07
144,1.05725e-07,8.46098e-08,6.51251e-07,6.6518e-07
145,1.12151e-07,8.91589e-08,6.52746e-07,6.68285e-07
146,1.17924e-07,9.3237e-08,6.54616e-07,6.71656e-07
147,1.22563e-07,9.66586e-08,6.56966e-07,6.75255e-07
148,1.26347e-07,9.91739e-08,6.59798e-07,6.79068e-07
149,1.30012e-07,1.00523e-07,6.63033e-07,6.83096e-07
